Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    32746     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      0.00     0.00    32746     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.00     0.00    32522     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, true>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      0.00     0.00    32522     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      0.00     0.00    16373     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.00      0.00     0.00    16373     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.00      0.00     0.00    11354     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<char const*, char const*>(char const*, char const*) const
  0.00      0.00     0.00     8660     0.00     0.00  bool std::__lc_rai<std::random_access_iterator_tag, std::random_access_iterator_tag>::__cnd2<char const*>(char const*, char const*)
  0.00      0.00     0.00     8427     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_M_ptr() const
  0.00      0.00     0.00     8427     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_M_addr() const
  0.00      0.00     0.00     8427     0.00     0.00  std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::operator()(std::pair<std::vector<char, std::allocator<char> > const, unsigned short> const&) const
  0.00      0.00     0.00     8427     0.00     0.00  std::_Rb_tree_node<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_M_valptr() const
  0.00      0.00     0.00     7970     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
